Symbol	Date	EMA10T7	EMA10T6	EMA10T5	EMA10T4	EMA10T3	EMA10T2	EMA10T1	EMA10T0	EMA20T7	EMA20T6	EMA20T5	EMA20T4	EMA20T3	EMA20T2	EMA20T1	EMA20T0
GXGXU	20.07.2021	11,0039313569	10,9723074600	10,8864333763	10,7452636091	10,3406703089	10,5750939099	8,6523495626	7,0791950967	10,9507205872	10,9392233811	10,8973925829	10,8224027804	10,6031263687	10,7009238683	9,6817882618	8,7597131893
LBRT	21.07.2021	14,0503428956	13,9139169493	13,6822957482	13,3873329612	13,0696361216	12,7660658483	12,5122356732	12,4154654676	14,4006932344	14,2958653255	14,1381638986	13,9402435673	13,7211727840	13,5001086730	13,2972411695	13,1717895859
PHI	21.07.2021	25,9906805759	25,8887387085	25,7816951682	25,7013869836	25,6647711684	25,5875400052	25,5316237655	25,4640557804	26,2755152051	26,1949899766	26,1097527633	26,0364429908	25,9853531822	25,9143671430	25,8539512900	25,7878606765
RICE	21.07.2021	17,4552032811	17,4360754812	17,3876981348	17,3844804447	17,3218478031	17,2196936987	17,2070220477	17,2584725429	17,2388341863	17,2494214430	17,2418575033	17,2540616306	17,2336748958	17,1885630228	17,1848903176	17,2139483608
VII	21.07.2021	9,6943435476	9,6935537354	9,6947257488	9,6956846689	9,6946510165	9,6919872508	9,6898078061	9,6916608976	9,7119636403	9,7098718251	9,7089316331	9,7080809832	9,7063589448	9,7038485982	9,7015773322	9,7014270919
KULR	21.07.2021	2,3814247719	2,3611657190	2,3191356091	2,2992927780	2,2866940945	2,2600224601	2,2163820093	2,2006762102	2,3841697019	2,3732963951	2,3501253208	2,3367800558	2,3266105284	2,3088381072	2,2813297142	2,2669173714
FARM	21.07.2021	11,1949583114	11,0158749890	10,8948068785	10,8357510269	10,7128871761	10,6105439838	10,5722631901	10,5627608752	11,4174599279	11,3024637480	11,2117529512	11,1506335934	11,0562875224	10,9699743887	10,9156910772	10,8780062563
TRVN	21.07.2021	1,6780963098	1,6475333427	1,6225272786	1,6038859518	1,5868157770	1,5673947301	1,5624138631	1,5692477105	1,7472227884	1,7246301410	1,7041891742	1,6866473463	1,6698237886	1,6517453344	1,6411029179	1,6371883566
RVPH	21.07.2021	4,6488666655	4,5999818381	4,5308941930	4,4543680004	4,3626647362	4,2439984275	4,1632714320	4,0881311716	4,7484590014	4,7133676789	4,6663802609	4,6133916773	4,5502115221	4,4701913808	4,4063636257	4,3438528042
KEP	21.07.2021	10,7746090485	10,7592255088	10,7611845904	10,7791509661	10,7920326780	10,8007540370	10,8478897429	10,8719097065	10,9408984347	10,9170033057	10,9030030344	10,8989074747	10,8942496563	10,8890830369	10,9053608828	10,9124693266
WINT	21.07.2021	2,1445339868	2,1109823598	2,0726219264	2,0285088567	1,9705981624	1,9323075857	1,9082516524	1,9067513476	2,1754168172	2,1549009335	2,1306246518	2,1019937367	2,0646610035	2,0356456689	2,0132032197	2,0024219584
CHI	21.07.2021	15,3308049751	15,3215676583	15,2903734693	15,2539419572	15,1750433640	15,0541264304	15,0079216595	15,0046631343	15,2154244263	15,2215744555	15,2147578044	15,2028761232	15,1664117015	15,1038963231	15,0749538343	15,0668629712
DLNG	21.07.2021	3,3679757516	3,4083437812	3,3831903629	3,3717011939	3,3403009553	3,2784280544	3,2405320323	3,2202171020	3,2623511052	3,2935557537	3,2913123468	3,2940444978	3,2849926296	3,2578504744	3,2399599467	3,2293732771
ARLP	21.07.2021	7,3223408637	7,3637334686	7,3685091773	7,3542347745	7,2843738683	7,2017604238	7,1414403260	7,1393602875	7,1226337466	7,1633353127	7,1849224131	7,1949297987	7,1735078931	7,1407928484	7,1150030424	7,1164313350
BAM	21.07.2021	51,0291900315	50,9311557855	50,8800368292	50,7982120066	50,5749006772	50,0849189301	49,9203882710	50,1112269891	50,7390901493	50,7153674378	50,7091421129	50,6825571788	50,5765993232	50,3197804418	50,2112299526	50,2834938829
PLRX	21.07.2021	27,6969491972	27,3956858733	26,9110156313	26,5071947045	26,1949776520	26,0067998693	25,9782908715	26,0640563063	28,5126161563	28,2771289905	27,9393071383	27,6298493664	27,3593876092	27,1499221081	27,0261200389	26,9712515364
NZF	21.07.2021	17,3506532296	17,3832618582	17,4063051983	17,3960679589	17,3658737013	17,3048058805	17,2802957343	17,2384236439	17,2362527735	17,2642287652	17,2876355713	17,2935750770	17,2875202642	17,2629945901	17,2541379698	17,2346961857
CGEM	21.07.2021	27,1049993477	27,5677266697	27,4390492044	27,3101310840	27,2464707204	27,1162034416	27,1623484230	27,1255576341	27,3640316023	27,5817428419	27,5130054865	27,4384334918	27,3928683102	27,3106904413	27,3163390506	27,2824019110
CALX	21.07.2021	44,8393174379	44,4867145448	44,2145849327	43,8719334597	43,5443091388	43,3144345280	43,4663558003	44,2888368691	45,3525568300	45,1189801344	44,9162202815	44,6699137624	44,4223028988	44,2182739350	44,2117718008	44,5716032177
NM	21.07.2021	7,9061885325	7,7705178625	7,5267873109	7,1946441287	6,8501634127	6,5064973446	6,1562250863	6,0169114100	8,1507095186	8,0563562166	7,9014651320	7,6918017679	7,4640111415	7,2255338936	6,9735782774	6,8227612859
PV	21.07.2021	9,6921758887	9,6899621462	9,6936053993	9,6984044662	9,7077854723	9,7081881206	9,7085175602	9,7051506548	9,7054165632	9,7029959672	9,7036630216	9,7052189497	9,7094838116	9,7095329761	9,7095774582	9,7077128984
SPG	21.07.2021	129,0372279843	128,5959139163	128,3875653767	128,0516445655	127,4058910082	125,5484567233	125,5632822742	125,9935946435	129,4148673626	129,1477371957	128,9860476483	128,7530908166	128,3480345484	127,2853648239	127,1277107696	127,2041192968
VTIQW	21.07.2021	1,3428392006	1,3405048083	1,3385948509	1,3315775966	1,3312907687	1,3183288090	1,3077235693	1,3081374554	1,3098274453	1,3117486451	1,3134868734	1,3122024048	1,3138974179	1,3087643296	1,3041201068	1,3046800912
SNRH	21.07.2021	9,7234502175	9,7191865069	9,7156980164	9,7164802438	9,7153020246	9,7088835302	9,7072683082	9,7041285395	9,7384339665	9,7347735705	9,7314617837	9,7303702107	9,7284301943	9,7238178239	9,7215494416	9,7185446929
KYN	21.07.2021	8,5593929906	8,5085942165	8,4379407018	8,3619515665	8,2834148868	8,1573394806	8,1032777811	8,0717726988	8,6098504819	8,5784361248	8,5347755306	8,4857493332	8,4328208089	8,3525521750	8,3056424568	8,2698669683
LKQ	21.07.2021	50,1233102967	50,1899814570	50,2936208869	50,2347809476	50,0957300882	49,8183245621	49,8604472303	50,0530928555	49,6982752780	49,7736777923	49,8676130808	49,8773643322	49,8385678454	49,7177518311	49,7493944412	49,8608805105
BIO	21.07.2021	661,6282048557	662,1576181596	661,5107740553	662,4670005055	664,7057330130	666,3665137116	666,7398717477	666,0689837560	645,6851375701	647,4808366613	648,5398022732	650,2760134406	652,6097292364	654,6316623430	655,9448357304	656,6215168792
UMH	21.07.2021	22,1206299600	22,2223336591	22,2855456656	22,4027192364	22,4713158637	22,4328948392	22,6378229532	22,7927641928	22,0679744630	22,1262626384	22,1685233104	22,2410449290	22,2923740488	22,2892908278	22,4103106981	22,5131382289
BAK	21.07.2021	22,8959357447	22,9403109529	23,2438908906	23,4140926024	23,4424393464	23,2819957318	23,2307237806	23,4269557234	22,6343709276	22,6825260193	22,8660950279	22,9912288639	23,0463498954	23,0000308069	23,0000278729	23,1247870722
